lrd,lrg,type,epochs,ticker,hid_g,hid_d,RMSE,MAE,SR_w scaled,PnL_w,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0.001,0.001,FlowFM,10,AMZN,8,64,0.010723073966801167,0.007108080200850964,-0.6498814381629149,-0.3726160716348563,-0.4103535213587868,-0.4948024214368054,-0.03809646765276404,0.1029143897996357,0.8970856102003643,False,False,0.009072837419807911,0.005932323168963194,-0.3182238487791895,-0.5346984144823903,-0.04248000797248495,0.09571558796718323,0.9042844120328167
0.001,0.001,FlowFM,10,HD,8,64,0.008918111212551594,0.0061181276105344296,0.42413763583392233,0.5370146402603996,-0.030008727210566417,0.5587322820746065,0.02522580424879958,0.6520947176684881,0.34790528233151186,False,False,0.006202904041856527,0.004435834940522909,0.25626196223481074,0.4096833954055656,0.015184814885100045,0.6955332725615314,0.30446672743846853
0.001,0.001,FlowFM,10,NKE,8,64,0.010857820510864258,0.006763899233192205,-0.42860016978257814,-0.5019225645369302,-0.46661542549122015,-0.10032479272088221,-0.028543785097459924,0.9061930783242259,0.09380692167577413,False,False,0.008676483295857906,0.005606363527476788,0.8503984641691629,0.9067052251600031,0.0658341621480795,0.9234275296262534,0.07657247037374658
0.001,0.001,FlowFM,10,CL,8,64,0.006703974679112434,0.004288644529879093,0.8632321170111021,0.8309448668512708,0.4952226364032611,0.7301133667779932,0.05909423046083046,0.7231329690346083,0.2768670309653916,False,False,0.005780939012765884,0.00385650503449142,-0.03990925866498673,-0.05245141720783838,0.006962765642105953,0.7392889699179581,0.26071103008204194
0.001,0.001,FlowFM,10,EL,8,64,0.011870824731886387,0.007537286728620529,0.37587197569439185,0.42948833853515284,-0.35676892664563903,0.5866537733314703,0.022156581601281117,0.546448087431694,0.453551912568306,False,False,0.010227362625300884,0.006136983633041382,0.18811789522436959,0.25461725119139805,-0.0013281004762675018,0.5715587967183227,0.4284412032816773
0.001,0.001,FlowFM,10,KO,8,64,0.00722487410530448,0.004465323407202959,1.0516868476715804,2.034298854335491,0.15439379928690505,1.1233819055519474,0.08790390175127798,0.3114754098360656,0.6885245901639344,False,False,0.005004202481359243,0.003370172344148159,0.1924234260057174,0.2491347168012103,0.010470987271379432,0.28076572470373745,0.7192342752962625
0.001,0.001,FlowFM,10,PEP,8,64,0.005746517796069384,0.003842131467536092,2.5472990306487207,2.3569129569377947,1.0918793844372798,1.5724161183418017,0.15526886084091926,0.5063752276867031,0.4936247723132969,False,False,0.00504192803055048,0.0035439596977084875,1.9917954658107138,2.645838886855118,0.135892805480529,0.5241567912488605,0.47584320875113945
0.001,0.001,FlowFM,10,APA,8,64,0.026526546105742455,0.016229962930083275,0.1487646643191093,1.3494779248577704,-0.23031091553092548,0.3145859166828124,0.024401672365465546,0.529143897996357,0.470856102003643,False,False,0.012407674454152584,0.008352011442184448,0.03893257785642887,0.026855025842640982,0.0009006409423191076,0.5104831358249772,0.48951686417502277
0.001,0.001,FlowFM,10,OXY,8,64,0.02106967382133007,0.01318615023046732,0.11109039581411669,0.9949440382868866,-0.5021403665303955,0.4644587142916601,0.0028534295190921046,0.46174863387978143,0.5382513661202186,False,False,0.008200056850910187,0.0051107266917824745,1.6015694824312507,0.9064408983648594,0.06825697384567124,0.34913400182315407,0.650865998176846
0.001,0.001,FlowFM,10,WFC,8,64,0.010685456916689873,0.0067721144296228886,0.6275391775761378,0.8698470819883984,0.21358606848637623,0.6268538154500387,0.02895669691677157,0.3925318761384335,0.6074681238615665,False,False,0.006121372804045677,0.003952596802264452,0.506426681444919,1.0466757046569157,0.05359651575641966,0.3217866909753874,0.6782133090246126
0.001,0.001,FlowFM,10,GS,8,64,0.007866708561778069,0.005137982778251171,-0.4738914594835675,-0.23598144687237202,0.8750447919491346,-0.8120455273716933,-0.011540026809537482,0.32877959927140255,0.6712204007285975,False,False,0.006276286207139492,0.004142363090068102,0.2163218046219027,0.6236704551513712,0.010373256228507065,0.29626253418413856,0.7037374658158614
0.001,0.001,FlowFM,10,BLK,8,64,0.01003288198262453,0.006447537802159786,-0.5494546435601319,-0.5887837203114357,-0.00161823547128821,-0.6922206589009021,-0.02866894057584966,0.377959927140255,0.6220400728597449,False,False,0.006391635164618492,0.004364457912743092,0.3031168223263519,0.7000156938489129,0.050891647992838185,0.39562443026435734,0.6043755697356427
0.001,0.001,FlowFM,10,PFE,8,64,0.01114083081483841,0.0069140181876719,1.4699127033774337,3.449992991804072,1.17845055602597,1.1323706728013745,0.11499319366080561,0.6010928961748634,0.3989071038251366,False,False,0.006195408757776022,0.0041734869591891766,0.693364807735979,0.8583337511844236,0.0626599041577427,0.618049225159526,0.381950774840474
0.001,0.001,FlowFM,10,HUM,8,64,0.01166891772300005,0.007161173038184643,0.7037535515820925,0.8691900865682053,-0.027308040564573907,0.7760961936328044,0.05004766834983784,0.9253187613843351,0.07468123861566485,False,False,0.00976154487580061,0.0062242234125733376,0.5100026550791125,0.6375878723481543,0.055492920031008364,0.9389243391066545,0.061075660893345485
0.001,0.001,FlowFM,10,FDX,8,64,0.013270504772663116,0.007939224131405354,-0.3694020819861813,-0.5132159148911201,0.6131483072931577,-1.121253471159424,-0.019084189432457533,0.44171220400728595,0.558287795992714,False,False,0.008838809095323086,0.005393183324486017,-0.9650530797517757,-1.2165337540992756,-0.08416979616507553,0.45396536007292615,0.5460346399270738
0.001,0.001,FlowFM,10,GD,8,64,0.007424903567880392,0.005108479876071215,0.9965709540610226,0.6614147256160722,-0.23351994697177192,1.1935476640549232,0.052505354265153646,0.39799635701275043,0.6020036429872495,False,False,0.007144182920455933,0.004406357649713755,0.6049957606316048,0.6429391831838729,0.053350133330174215,0.38742023701002737,0.6125797629899726
0.001,0.001,FlowFM,10,IBM,8,64,0.012005330063402653,0.008153429254889488,0.19918258626779414,0.2955515357667414,0.01455370249018185,0.22450398840474972,-0.0022033075576709566,0.5045537340619308,0.49544626593806923,False,False,0.008702032268047333,0.005294619128108025,-0.08868768748684522,-0.12892212064420003,-0.01588896126529722,0.45396536007292615,0.5460346399270738
0.001,0.001,FlowFM,10,TER,8,64,0.014145796187222004,0.009595969691872597,0.11813182014387089,0.16910569741643408,0.2958000837204914,-0.07071200571752591,0.004710708948178115,0.8360655737704918,0.16393442622950818,False,False,0.01234999019652605,0.007619310170412064,-0.9355227702168109,-0.6234573792889924,-0.061053183632352064,0.8687329079307201,0.13126709206927986
0.001,0.001,FlowFM,10,ECL,8,64,0.00955302082002163,0.005860630888491869,0.008060089043111732,0.00859486754094751,0.8106714494371731,-0.5110284243983524,0.04571988390724385,0.9517304189435337,0.0482695810564663,False,False,0.0072365109808743,0.004461505450308323,1.3248282860774194,1.1255381248615415,0.1276007476703793,0.9416590701914311,0.05834092980856882
0.001,0.001,FlowFM,10,IP,8,64,0.010835618712008,0.00706435227766633,0.08325239786983026,0.13910380698645483,0.35327087399007484,-0.07922828699228739,0.004071824985572968,0.42349726775956287,0.5765027322404371,False,False,0.008361230604350567,0.0056554037146270275,0.21303154026450466,0.216351940617641,0.0055964226349027825,0.39562443026435734,0.6043755697356427
0.001,0.001,FlowFM,10,DTE,8,64,0.009714348241686821,0.0051182955503463745,0.8857086725804527,1.8119450925301441,1.1213755844470412,0.42394500230416116,0.0565517681969353,0.5846994535519126,0.41530054644808745,False,False,0.003567966166883707,0.0023882403038442135,0.9877516751638171,1.5359865149745227,0.16657956006814767,0.6144029170464904,0.3855970829535096
0.001,0.001,FlowFM,10,WEC,8,64,0.007491824217140675,0.0044296057894825935,0.9282423054646606,1.8180804912277408,0.8456518212573324,0.7268327840951878,0.06303748160824701,0.4098360655737705,0.5901639344262295,False,False,0.0034943867940455675,0.0024538037832826376,0.5573262191194035,1.7352940022703083,0.10261936710351181,0.34092980856882404,0.659070191431176
0.001,0.001,FlowFM,10,XLY,8,64,0.011659291572868824,0.007496802601963282,-1.2787439215079286,-2.732155857984323,-1.0801440153573183,-0.9611873104480061,-0.14745799683127625,0.46357012750455373,0.5364298724954463,False,False,0.0075070420280098915,0.0051347739063203335,-0.12851024221588117,-0.22008856350226114,-0.020528053346284457,0.5095715587967183,0.49042844120328166
0.001,0.001,FlowFM,10,XLP,8,64,0.008943801745772362,0.0051208860240876675,0.8639580401024045,2.340821415827167,1.172457457753783,-0.01169212656528469,0.12104670336987662,0.2668488160291439,0.7331511839708561,False,False,0.0055817062966525555,0.003922884352505207,-0.2047837244577869,-0.3914570869054852,-0.018310780917667,0.27438468550592526,0.7256153144940748
0.001,0.001,FlowFM,10,XLE,8,64,0.019170308485627174,0.013040262274444103,0.5327900327249886,2.9965705593644163,0.17874306796815284,0.7126014398765369,0.08899832436556297,0.5200364298724954,0.47996357012750457,False,False,0.008733054623007774,0.006432490888983011,0.26634132306356606,0.3139710371580239,0.017250575752612556,0.5104831358249772,0.48951686417502277
0.001,0.001,FlowFM,10,XLF,8,64,0.014620923437178135,0.00912579894065857,-0.2358702026039947,-0.693343178224911,-0.738233894912883,0.8332697635081865,0.021182602008660387,0.14663023679417123,0.8533697632058288,False,False,0.008219809271395206,0.006018184591084719,-0.5780260032994577,-0.6210518385576604,-0.022486547480858057,0.105742935278031,0.894257064721969
0.001,0.001,FlowFM,10,XLV,8,64,0.009743552654981613,0.005864150356501341,0.16489348327298692,0.33010721320662995,0.3435709237468538,-0.08842837667875715,0.02094791128978876,0.3679417122040073,0.6320582877959927,False,False,0.0068478393368422985,0.004705385304987431,-0.09980280180699634,-0.1446696876855446,0.008590736462126772,0.3828623518687329,0.6171376481312671
0.001,0.001,FlowFM,10,XLI,8,64,0.012301665730774403,0.007689569145441055,-0.2405010816357917,-0.5884850839600781,-0.04947349784305895,-0.43649674424185075,0.013881406108152129,0.14025500910746813,0.8597449908925319,False,False,0.007787177339196205,0.0055154734291136265,-0.15706282960808407,-0.2604742270082446,-0.009972085850483689,0.08477666362807658,0.9152233363719234
0.001,0.001,FlowFM,10,XLK,8,64,0.013207171112298965,0.008268448524177074,0.04632008211935956,0.12042182932297389,-0.5844054212691285,1.1843853491628618,-0.02874330612310607,0.8506375227686703,0.1493624772313297,False,False,0.008940251544117928,0.00610876502469182,1.4842285600076193,1.3428195685312796,0.07676583520340734,0.8896991795806746,0.11030082041932543
0.001,0.001,FlowFM,10,XLB,8,64,0.012583605013787746,0.0076994565315544605,1.4930764486576384,2.913582567424125,0.7315657892243569,0.7378928374178697,0.11607079815864624,0.6612021857923497,0.33879781420765026,False,False,0.0075316173024475574,0.005275146570056677,0.1660743245012025,0.3239773684283408,0.014807404373294406,0.6918869644484958,0.3081130355515041
0.001,0.001,FlowFM,10,XLU,8,64,0.01189726684242487,0.00683690095320344,-0.8548926494124185,-3.190642445275258,-0.312275129655444,-0.892279056283665,-0.12081547633277086,0.31876138433515483,0.6812386156648452,False,False,0.005984900984913111,0.0040602292865514755,0.16667547821828646,0.4880281894884757,0.031512481258478414,0.2689152233363719,0.731084776663628
