,lrd,lrg,epochs,SR_val,type,ticker,hid_g,hid_d,RMSE,MAE,SR_w scaled,PnL_w,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0,0.0001,0.0001,100.0,,PnL,AMZN,8.0,8.0,0.010964376851916313,0.007469470612704754,0.08863542808279272,0.14185753514572896,0.20102018139632877,-0.059028543125833347,-0.007612868877793636,0.7367941712204007,0.26320582877959925,False,False,0.009115121327340603,0.005945560522377491,1.316071953325376,1.087787263565586,0.05251351868690756,0.7748404740200547,0.22515952597994532
1,0.0001,0.0001,100.0,,PnL MSE,AMZN,8.0,8.0,0.010942992754280567,0.007465628441423178,0.9598097093366829,2.989922644838501,0.8479361719614164,0.611454874044186,0.05251580870629909,0.6411657559198543,0.3588342440801457,False,False,0.009483740665018559,0.00613632844761014,-0.8466468803638959,-0.3280825900038728,-0.01429928400832599,0.6773017319963537,0.3226982680036463
2,0.0001,0.0001,100.0,,PnL MSE STD,AMZN,8.0,8.0,0.01160522922873497,0.008021941408514977,-0.26902751138600955,-0.43964069789251775,-0.8293471027749728,0.34401638886409086,-0.006245778031872397,0.4426229508196721,0.5573770491803278,False,False,0.00975638348609209,0.006567381322383881,-0.15782196727329798,-0.11694919271673303,0.050743233659311576,0.381950774840474,0.618049225159526
3,0.0001,0.0001,100.0,,PnL MSE SR,AMZN,8.0,8.0,0.011412679217755795,0.007904519326984882,-0.4369156854609436,-2.0925236197005286,-0.9720263193341867,0.33091040192718313,-0.021042813358331195,0.6238615664845173,0.3761384335154827,False,False,0.009700167924165726,0.006464037112891674,-2.6355868083336493,-0.7378597805771684,-0.022119971672161145,0.6353691886964449,0.3646308113035551
4,0.0001,0.0001,100.0,,PnL SR,AMZN,8.0,8.0,0.014942840673029423,0.010826506651937962,-0.28066383196146794,-0.6509622897552445,-1.0522257587792967,0.4751200586494406,-0.010045686064990993,0.19672131147540983,0.8032786885245902,False,False,0.013397712260484695,0.009749488905072212,-1.2071520479491158,-0.6010231740849689,-0.01150754860592688,0.15132178669097537,0.8486782133090246
5,0.0001,0.0001,100.0,,PnL STD,AMZN,8.0,8.0,0.010651202872395515,0.007075726054608822,0.3525582595284164,1.3880691621418642,-0.4009042853244923,0.8116912614590673,0.027551997513385974,0.7477231329690346,0.2522768670309654,False,False,0.008946540765464306,0.005729840602725744,3.2214433313993207,1.1705130849819958,0.04441994062946713,0.7657247037374658,0.23427529626253418
6,0.0001,0.0001,100.0,,SR,AMZN,8.0,8.0,0.011070397682487965,0.0076093049719929695,-0.6068392081011624,-2.000025893210388,-0.9549959808312599,0.06412617840060614,-0.043241899130533806,0.8597449908925319,0.14025500910746813,False,False,0.009240694344043732,0.006144251674413681,1.9398989043314092,0.7650696841797884,0.02028244520222902,0.8896991795806746,0.11030082041932543
7,0.0001,0.0001,100.0,,SR MSE,AMZN,8.0,8.0,0.7352159023284912,0.7347465753555298,0.2037317083470048,1.975391820968826,0.6585387065004675,-0.25220196862817584,-0.030024352033932035,1.0,0.0,False,False,0.7367290258407593,0.7364099025726318,5.0847077404495575,0.6253160048492133,0.045090902573179305,1.0,0.0
8,0.0001,0.0001,100.0,,MSE,AMZN,8.0,8.0,0.029269738122820854,0.027023961767554283,-0.20591985473445532,-1.9955391945191854,-0.6592209805957341,0.24964316364938277,-0.024232655319451353,0.0,1.0,False,False,0.02877085469663143,0.027137912809848785,-5.059256541467931,-0.6223984117992201,-0.07050343894317243,0.0,1.0
9,0.0001,0.0001,100.0,,BCE,AMZN,8.0,8.0,0.013916954398155212,0.00995048601180315,-0.20774607317963048,-1.169675710992735,-0.7035972065133135,0.30189862107014587,0.00832176682458684,0.30601092896174864,0.6939890710382514,False,False,0.01216033659875393,0.00859927199780941,-3.79892028104106,-0.9638254906724723,-0.029154183276485866,0.19690063810391978,0.8030993618960802
10,0.0001,0.0001,100.0,,PnL,HD,8.0,8.0,0.0089524881914258,0.006135808769613504,0.13248198195890015,0.2284940413058564,0.8103068480898311,-0.2782548804859392,0.00985704661726534,0.33515482695810567,0.6648451730418944,False,False,0.0061954353004693985,0.004456662572920322,0.5984675606821467,0.7864513435096193,0.04731392368879705,0.30355515041020964,0.6964448495897904
11,0.0001,0.0001,100.0,,PnL MSE,HD,8.0,8.0,0.009647584520280361,0.006751250475645065,-0.3362762122109162,-1.2421525471686015,1.0462058287779443,-0.972208363753528,-0.017526906165828148,0.5018214936247724,0.4981785063752277,False,False,0.006549430079758167,0.004790439736098051,0.5303946401461632,0.2909882834404255,0.03550911435801589,0.4421148587055606,0.5578851412944393
12,0.0001,0.0001,100.0,,PnL MSE STD,HD,8.0,8.0,0.008957003243267536,0.006122296676039696,-0.5458356041675574,-1.7647243633947738,0.531900519905336,-0.8877779019198841,-0.026046504679477972,0.6357012750455373,0.36429872495446264,False,False,0.006176284980028868,0.004388757981359959,0.21272571176888733,0.13694612919719587,0.010893231077270365,0.6526891522333638,0.3473108477666363
13,0.0001,0.0001,100.0,,PnL MSE SR,HD,8.0,8.0,0.01149161159992218,0.008647516369819641,0.3890778398574959,2.4690711980308993,0.7643259353437957,0.001520758076603404,0.020087673845936824,0.46265938069216755,0.5373406193078324,False,False,0.008530738763511181,0.006654917728155851,-0.11649776879616462,-0.028515785463859314,0.0255506352167453,0.4047402005469462,0.5952597994530537
14,0.0001,0.0001,100.0,,PnL SR,HD,8.0,8.0,0.01020320039242506,0.007411141414195299,0.3102705007883057,2.008635085788581,0.6039114386167129,0.024195827302971366,0.008608332069550475,0.5145719489981785,0.4854280510018215,False,False,0.007176693063229322,0.005463643465191126,2.025520051537204,0.5195366733756266,0.03787976266750269,0.5022789425706472,0.4977210574293528
15,0.0001,0.0001,100.0,,PnL STD,HD,8.0,8.0,0.00944865308701992,0.006457562558352947,-0.3577348599818359,-2.1595856294388764,-0.12826152482421452,-0.33475833481982964,-0.025125410378764337,0.43989071038251365,0.5601092896174863,False,False,0.006648730486631393,0.004872282035648823,-2.248013914447196,-0.6194869254079277,-0.04120562579991503,0.4576116681859617,0.5423883318140383
16,0.0001,0.0001,100.0,,SR,HD,8.0,8.0,0.012342073954641819,0.009469782933592796,0.3231415148704178,2.1148313295320085,0.7597708738107894,-0.0545937322938273,0.02589102394440729,0.45264116575591984,0.5473588342440802,False,False,0.009592968970537186,0.007579701952636242,1.9137450338606417,0.4669215539483605,0.0290551351248386,0.4220601640838651,0.577939835916135
17,0.0001,0.0001,100.0,,SR MSE,HD,8.0,8.0,0.010094339028000832,0.007228990085422993,0.15372100884263426,0.8965979636204048,0.07941632170713984,0.13743242595761376,0.010829232923416377,0.49089253187613846,0.5091074681238615,False,False,0.007159058004617691,0.005477744620293379,0.8225460653975062,0.2803838634211342,0.015359339920122965,0.4512306289881495,0.5487693710118505
18,0.0001,0.0001,100.0,,MSE,HD,8.0,8.0,0.01038796454668045,0.00746179698035121,-0.1945663676891659,-0.4382789076894576,-0.08917332036311976,-0.1718757699381072,-0.007678568272825194,0.3069216757741348,0.6930783242258652,False,False,0.007818825542926788,0.005922127515077591,-1.3513288027504935,-1.1624251578466234,-0.060521144444317714,0.21513217866909753,0.7848678213309025
19,0.0001,0.0001,100.0,,BCE,HD,8.0,8.0,0.009187531657516956,0.00643681176006794,-0.004026445007952478,-0.02558086261506072,-0.7501479507676564,0.39040773223535247,-0.0009176927983209768,0.6265938069216758,0.37340619307832423,False,False,0.006415223702788353,0.004690131172537804,1.5795008307390839,0.38352038697313706,0.012100741744005768,0.7201458523245214,0.27985414767547856
